donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Mendoza,Full-Time,Staff (planta permanente),1900000,Engineer,2,"Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,26,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),3000000,SysAdmin / DevOps / SRE,8,"Amazon Web Services, Docker, Linux, OpenStack, Serverless, VMWare","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,31,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),925700,BI Analyst / Data Analyst,0,Ninguna de las anteriores,"Bash/Shell, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,36,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),1700000,Developer,4,"Amazon Web Services, Docker, Firebase, Linux","Bash/Shell, Python, SQL",Django,"MySQL, Redis",Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,4500000,SysAdmin / DevOps / SRE,23,"Amazon Web Services, Docker, Kubernetes, Linux, IoT Devices","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, MySQL",Ninguna de las anteriores,44,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),2300000,Developer,5,Ninguna de las anteriores,"HTML, Javascript, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,36,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),6240000,HelpDesk,10,"Amazon Web Services, Docker, Kubernetes, Linux",".NET, Bash/Shell, CSS, Go, Elixir, HTML, Java, Javascript, Kotlin, PHP, Python, Ruby, SQL, Swift","Bootstrap, Django, Next.js, Node.js, Rails, React.js, WordPress","Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL, Redis","Jest, Postman",31,Hombre Cis,Senior
Tucumán,Full-Time,Staff (planta permanente),1380000,Developer,2,"Amazon Web Services, Firebase, Kubernetes, Linux","Go, Javascript, SQL","Next.js, Node.js, React.js","MongoDB, MySQL",Ninguna de las anteriores,37,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,Developer,2,"Docker, Google Cloud Platform, Linux","HTML, Javascript, TypeScript","Angular, Node.js",Ninguna de las anteriores,Cypress,28,Hombre Cis,Junior
Córdoba,Full-Time,Contractor,1133000,Developer,1,"Amazon Web Services, Azure, Docker, Linux",".NET, C#, CSS, HTML, Javascript, Python, SQL, TypeScript",".NET Core, Next.js, Node.js, React.js","Amazon RDS/Aurora, MySQL, PostgreSQL, SQLite",Jest,23,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),950000,Developer,4,"Kubernetes, OpenShift","Java, SQL","Hibernate, jQuery, Spring",Oracle,"JUnit, SoapUI",25,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Contractor,2800000,Technical Leader,12,Google Cloud Platform,Python,Django,"ElasticSearch, Google Cloud Storage, PostgreSQL, BigQuery y ClickHouse",Ninguna de las anteriores,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000,Data Engineer,5,"Amazon Web Services, Linux, Microcontroladores, VMWare","Bash/Shell, Python, SQL",Spark,Apache Hive,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,1000000,Developer,7,Ninguna de las anteriores,"C#, PHP, Python, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,28,Hombre Cis,Senior
Córdoba,Full-Time,Contractor,6500000,Technical Leader,20,"Amazon Web Services, Linux, Serverless","CSS, HTML, Javascript, Python, SQL, TypeScript","Next.js, Node.js, React.js, remix","ElasticSearch, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL, Redis","Cypress, Jest",38,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1300000,BI Analyst / Data Analyst,3,"Amazon Web Services, Tableau","Python, R, SQL",Ninguno de los anteriores,Amazon RDS/Aurora,Ninguna de las anteriores,38,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),1500000,Developer,2,"Azure, Docker, Linux, Serverless",Python,"Django, FastAPI","Microsoft Azure (Tables, CosmosDB, SQL, etc)",Pytest,29,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1550000,Technical Leader,3,"Amazon Web Services, Azure","Python, SQL",Fastapi,"Amazon Redshift, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2900000,Data Engineer,8,Google Cloud Platform,"Python, SQL",Airflow,"Google Cloud Storage, BigQuery",Ninguna de las anteriores,41,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,700000,Developer,1,GeneXus,"CSS, HTML, Javascript","Bootstrap, WordPress",MySQL,GeneXus,42,Hombre Cis,Junior
Entre Ríos,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1200000,BI Analyst / Data Analyst,7,Google Cloud Platform,"Python, SQL",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,37,Hombre Cis,Senior
Tucumán,Full-Time,Staff (planta permanente),2900000,SysAdmin / DevOps / SRE,5,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Go, Python",Vue.js,MySQL,Selenium,29,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Contractor,9000000,VP / C-Level,20,"Amazon Web Services, Firebase, Google Cloud Platform, Linux","Javascript, SQL","Angular, Bootstrap",MySQL,Postman,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5116597,Technical Leader,13,"Docker, Linux","Bash/Shell, Java, Javascript, Python, Scala, SQL, TypeScript","Angular, Hibernate, jQuery, Node.js, Spring","Cassandra, ElasticSearch, MariaDB","Jest, JUnit, Postman",31,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,Infosec,12,"Azure, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,31,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5400000,Technical Leader,6,Ninguna de las anteriores,Go,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,35,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),3200000,Developer,7,"Amazon Web Services, Docker, Linux",Java,Spring,"MongoDB, MySQL","Jest, JUnit, Postman, SoapUI",29,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),658000,Data Engineer,4,"Amazon Web Services, Docker, Linux",Python,Flask,PostgreSQL,Ninguna de las anteriores,43,Mujer Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1700000,Technical Leader,5,"Amazon Web Services, Docker, Firebase, Linux","Bash/Shell, CSS, HTML, Javascript, Python, Solidity, TypeScript","Angular, Django, Flask, Node.js","PostgreSQL, SQLite","Jest, Karma, Postman",29,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),3814000,Developer,14,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Node.js, React.js",Microsoft SQL Server,"Jest, JUnit, Mocha, NUnit, Selenium",39,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9000000,Developer,9,Ninguna de las anteriores,Swift,"SwiftUI, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,Developer,7,Docker,".NET, C#, HTML, Javascript, PHP, SQL",".NET Core, Bootstrap, Laravel, React.js, Symfony","MariaDB, MySQL, PostgreSQL",Xunit,30,Hombre Cis,Senior
Chaco,Full-Time,Contractor,1580000,Consultant,1,SAP,"ABAP, SQL","SAP, SAP Hana","Google Cloud Storage, HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,30,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,Manager / Director,8,Ninguna de las anteriores,"CSS, HTML, Javascript, SQL",".NET Core, Next.js, Node.js, React.js",MySQL,Ninguna de las anteriores,30,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,4000000,Developer,7,"Arduino o similar, Docker","Python, TypeScript",Node.js,MySQL,Ninguna de las anteriores,31,Mujer Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),2491725,Developer,4,"Docker, Linux","Go, Java, Javascript, Python, TypeScript","Django, Flask, Node.js","MySQL, ProxySQL, Redis",Pytest,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2793133,Architect,5,Salesforce,Apex,Lightning web component,soql,Ninguna de las anteriores,34,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),9000000,Manager / Director,20,"Amazon Web Services, Google Cloud Platform","Clojure, Python",Flutter,Amazon DynamoDB,Cucumber,43,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),2036046.25,Developer,10,"Docker, Linux","Bash/Shell, CSS, HTML, Java, Javascript, TypeScript","Angular, Hibernate, Next.js, Node.js, React.js, Spring","ElasticSearch, MariaDB, MongoDB, MySQL","Jest, JUnit, Postman",29,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3120900,QA / Tester,3,Linux,Javascript,Ninguno de los anteriores,Ninguna de las anteriores,"Mocha, Postman, WebdriverIO",27,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Contractor,3000000,SysAdmin / DevOps / SRE,3,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux",Java,Spring,"Amazon RDS/Aurora, MongoDB, PostgreSQL, Redis",Ninguna de las anteriores,33,Hombre Cis,Semi-Senior
Tucumán,Full-Time,Contractor,12000000,Developer,10,Ninguna de las anteriores,"C++, C#, Javascript, Swift",Node.js,Ninguna de las anteriores,Ninguna de las anteriores,35,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1190000,Data Engineer,3,"Google Cloud Platform, Serverless","Bash/Shell, Javascript, Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, Microsoft SQL Server","Cypress, Selenium",29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000,Developer,18,Google Cloud Platform,Python,Ninguno de los anteriores,"Google Cloud Storage, Redis",Ninguna de las anteriores,41,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000,Developer,6,Amazon Web Services,Kotlin,Ninguno de los anteriores,Dynamo,Ninguna de las anteriores,31,Mujer Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),3500000,Manager / Director,10,Amazon Web Services,"Python, SQL",Bootstrap,"MongoDB, MySQL",Postman,32,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,4000000,Architect,12,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Serverless","Bash/Shell, Java, Javascript, Python, SQL","Django, Flask, Flutter, Next.js, Node.js, React.js","Amazon Redshift, Amazon RDS/Aurora, Google Cloud Storage, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3022000,Data Scientist,5,Google Cloud Platform,Python,Scikit-learn,Ninguna de las anteriores,Ninguna de las anteriores,42,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3000000,Architect,26,"Amazon Web Services, Docker, Kubernetes, Linux, Windows Server",".NET, Bash/Shell, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js","Amazon DynamoDB, ElasticSearch, Microsoft SQL Server, Redis",Ninguna de las anteriores,43,Mujer Cis,Senior
Santiago del Estero,Full-Time,Contractor,5000000,BI Analyst / Data Analyst,17,"Ninguna de las anteriores, Product: confluence, Jira",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,46,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,1402500,Infosec,2,"Amazon Web Services, Docker, Kubernetes, Microcontroladores","CSS, HTML, Java, Python","Django, Hibernate, jQuery, Spring","Amazon DynamoDB, MySQL, Redis","JUnit, Postman, Selenium",32,Hombre Cis,Junior
Santa Fe,Full-Time,Contractor,4348350,SysAdmin / DevOps / SRE,3,"Amazon Web Services, Docker, Kubernetes, Linux, Windows Server","Bash/Shell, CSS, HTML, Java, Javascript, Python, SQL","Flask, WordPress","Amazon Redshift, Amazon RDS/Aurora, MariaDB, MySQL, Redis",Ninguna de las anteriores,36,Prefiero no decir,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4500000,Developer,13,"Amazon Web Services, Azure, Docker, Linux","Bash/Shell, Dart, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Flutter, Node.js, React.js, Spring","MongoDB, PostgreSQL","Cypress, Postman",37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000,Developer,2,"Amazon Web Services, Google Cloud Platform","Java, Python","Flask, Hibernate, Node.js, React.js, Spring",MySQL,Ninguna de las anteriores,22,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,Data Scientist,3,"Amazon Web Services, Google Cloud Platform","Python, SQL","TensorFlow, Torch",Google Cloud Storage,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000,Developer,6,"Amazon Web Services, Docker, Kubernetes","Java, Javascript, SQL, TypeScript","Angular, Node.js, React.js",Amazon RDS/Aurora,"Cucumber, Jest, JUnit",29,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000,Developer,6,"Docker, Kubernetes","Groovy, Java, Python, Scala","Akka, Spring","Cassandra, ElasticSearch, PostgreSQL, Redis",JUnit,27,Hombre Cis,Senior
San Juan,Full-Time,Staff (planta permanente),2679252,Developer,3,"Amazon Web Services, Docker","Go, Java, Python, SQL","Spring, Javalin","MySQL, Oracle, Redis","JUnit, Postman",32,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1700000,Developer,3,"Azure, Docker, Kubernetes",".NET, C#",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","NUnit, Xunit",34,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),5300000,Technical Leader,8,"Amazon Web Services, Docker, Kubernetes","Go, Java, SQL","Hibernate, Spring","Amazon DynamoDB, MySQL, Redis","JUnit, Postman",31,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1012400,Developer,5,"Amazon Web Services, Docker","CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery, Laravel, Next.js, Node.js, React.js, Symfony","MongoDB, MySQL, PostgreSQL",Jest,28,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),3700000,Developer,21,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Python, SQL",Django,"ElasticSearch, PostgreSQL",pytest,36,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000,Developer,3,"Amazon Web Services, Firebase, Google Cloud Platform","CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, Node.js, React.js","Google Cloud Storage, MySQL, PostgreSQL",Ninguna de las anteriores,22,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2350000,Developer,6,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Java, Python","Flask, FastAPI","PostgreSQL, Redis","JUnit, Pytest",25,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1020000,Business Analyst,1,"Ninguna de las anteriores, Figma, MAT","Python, SQL",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,23,Hombre Cis,Junior
Córdoba,Full-Time,Contractor,3700000,UX Designer,20,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,40,Hombre Cis,Senior
Córdoba,Full-Time,Contractor,2163200,SysAdmin / DevOps / SRE,1,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, Serverless, Windows Server","Bash/Shell, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, Next.js, Node.js, React.js","Amazon RDS/Aurora, Microsoft Azure (Tables, CosmosDB, SQL, etc), PostgreSQL, Redis",Ninguna de las anteriores,30,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000,Developer,5,"Amazon Web Services, Docker","Bash/Shell, HTML, TypeScript","Node.js, React.js",SQLite,Cypress,26,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Freelance,4800000,Consultant,15,"Linux, Windows Server","Bash/Shell, Groovy, Javascript, Python, SQL",Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,39,Hombre Cis,Senior
Córdoba,Full-Time,Contractor,11333250,Data Engineer,12,"Docker, Google Cloud Platform, Linux",R,Ninguno de los anteriores,"Google Cloud Storage, PostgreSQL",Ninguna de las anteriores,34,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),3200000,QA / Tester,15,"Kubernetes, Linux",Javascript,WordPress,MongoDB,"SoapUI, Visual Studio Coded UI",42,Mujer Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),2280684,Technical Leader,5,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python",".NET Core, Flask","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, Microsoft SQL Server, MongoDB, Redis","JUnit, Postman, Selenium",29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,205000,Data Scientist,10,"Docker, Google Cloud Platform, OpenAI (Whisper, GPT)",Python,"TensorFlow, Torch",Google Cloud Storage,Ninguna de las anteriores,35,Hombre Cis,Senior
Mendoza,Full-Time,Contractor,2495000,Technical Leader,7,"Docker, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, MySQL","Jest, PHPUnit, Selenium",28,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1840000,Designer,10,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2480000,SysAdmin / DevOps / SRE,25,"Linux, VMWare","Bash/Shell, Java, Perl, PHP, Python, SQL","Symfony, WordPress","ElasticSearch, MariaDB, MySQL, Oracle, ProxySQL, Redis, Berkley ","PHPUnit, Postman",45,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,3547374,Consultant,15,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Groovy, HTML, Java, Javascript, SQL","Hibernate, Node.js, Spring, Vue.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL","Cucumber, Jest, JUnit, Selenium",45,Hombre Cis,Senior
Entre Ríos,Full-Time,Staff (planta permanente),2100000,SysAdmin / DevOps / SRE,5,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack","Bash/Shell, Go, Python",Django,"Amazon RDS/Aurora, ElasticSearch, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),1420000,Recruiter,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3441000,Business Analyst,10,"Amazon Web Services, Azure, VMWare","PHP, Python, SQL","Laravel, Node.js",Microsoft SQL Server,Ninguna de las anteriores,34,Hombre Cis,Senior
